longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedroom ratio,room per household,total bedroom,Is any bedroom missing
-122.26,37.84,52,950,202,467,198,3.9643,188800,NEAR BAY,0.212631579,4.797979798,202,NO
-122.26,37.83,52,1443,311,660,292,3.0125,184400,NEAR BAY,0.215523216,4.941780822,311,NO
-122.26,37.83,52,1656,420,718,382,2.6768,182300,NEAR BAY,0.253623188,4.335078534,420,NO
-122.26,37.83,50,1125,322,616,304,2.026,142500,NEAR BAY,0.286222222,3.700657895,322,NO
-122.27,37.82,43,1007,312,558,253,1.7348,137500,NEAR BAY,0.309831182,3.980237154,312,NO
-122.26,37.82,40,624,195,423,160,0.9506,187500,NEAR BAY,0.3125,3.9,195,NO
-122.27,37.82,40,946,375,700,352,1.775,112500,NEAR BAY,0.39640592,2.6875,375,NO
-122.27,37.82,21,896,453,735,438,0.9218,171900,NEAR BAY,0.505580357,2.0456621,453,NO
-122.27,37.82,43,1868,456,1061,407,1.5045,93800,NEAR BAY,0.244111349,4.58968059,456,NO
-122.27,37.82,41,3221,853,1959,720,1.1108,97500,NEAR BAY,0.264824589,4.473611111,853,NO
-122.27,37.82,52,1630,456,1162,400,1.2475,104200,NEAR BAY,0.279754601,4.075,456,NO
-122.28,37.82,52,1170,235,701,233,1.6098,87500,NEAR BAY,0.200854701,5.021459227,235,NO
-122.28,37.82,52,945,243,576,220,1.4113,83100,NEAR BAY,0.257142857,4.295454545,243,NO
-122.28,37.82,52,1238,288,622,259,1.5057,87500,NEAR BAY,0.232633279,4.77992278,288,NO
-122.28,37.82,52,1489,335,728,244,0.8172,85300,NEAR BAY,0.22498321,6.102459016,335,NO
-122.28,37.82,52,1387,341,1074,304,1.2171,80300,NEAR BAY,0.245854362,4.5625,341,NO
-122.29,37.82,2,158,43,94,57,2.5625,60000,NEAR BAY,0.272151899,2.771929825,43,NO
-122.29,37.83,52,1121,211,554,187,3.3929,75700,NEAR BAY,0.188224799,5.994652406,211,NO
-122.29,37.82,49,135,29,86,23,6.1183,75000,NEAR BAY,0.214814815,5.869565217,29,NO
-122.29,37.81,50,760,190,377,122,0.9011,86100,NEAR BAY,0.25,6.229508197,190,NO
-122.3,37.81,52,1224,237,521,159,1.191,76100,NEAR BAY,0.193627451,7.698113208,237,NO
-122.3,37.81,48,828,182,392,133,2.5938,73500,NEAR BAY,0.219806763,6.22556391,182,NO
-122.3,37.81,52,1010,209,604,187,1.1667,78400,NEAR BAY,0.206930693,5.401069519,209,NO
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY,0.243298969,4.38253012,354,NO
-122.29,37.8,52,1027,244,492,147,2.6094,81300,NEAR BAY,0.2375852,6.986394558,244,NO
-122.3,37.81,52,572,109,274,82,1.8516,85000,NEAR BAY,0.190559441,6.975609756,109,NO
-122.29,37.81,46,2801,644,1823,611,0.9802,129200,NEAR BAY,0.229917886,4.584288052,644,NO
-122.29,37.81,26,768,152,392,127,1.7719,82500,NEAR BAY,0.197916667,6.047244094,152,NO
-122.29,37.81,46,935,297,582,277,0.7286,95200,NEAR BAY,0.317647059,3.375451264,297,NO
-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY,0.241706161,5.552631579,204,NO
-122.29,37.81,46,12,4,18,7,0.4999,67500,NEAR BAY,0.333333333,1.714285714,4,NO
-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY,0.192814371,6.278195489,161,NO
-122.28,37.81,17,1237,462,762,439,0.9241,177500,NEAR BAY,0.373484236,2.817767654,462,NO
-122.28,37.81,36,2914,562,1236,509,2.4464,102100,NEAR BAY,0.192862045,5.724950884,562,NO
-122.28,37.81,19,1207,243,721,207,1.1111,108300,NEAR BAY,0.201325601,5.830917874,243,NO
-122.29,37.81,23,1745,374,1054,325,0.8026,112500,NEAR BAY,0.214326648,5.369230769,374,NO
-122.28,37.8,38,684,176,344,155,2.0114,131300,NEAR BAY,0.257309942,4.412903226,176,NO
-122.28,37.81,17,924,289,609,289,1.5,162500,NEAR BAY,0.312770563,3.197231834,289,NO
-122.27,37.81,52,210,56,183,56,1.1667,112500,NEAR BAY,0.266666667,3.75,56,NO
-122.28,37.81,52,340,97,200,87,1.5208,112500,NEAR BAY,0.285294118,3.908045977,97,NO
-122.28,37.81,52,386,164,346,155,0.8075,137500,NEAR BAY,0.424870466,2.490322581,164,NO
-122.28,37.81,35,948,184,467,169,1.8088,118800,NEAR BAY,0.194092827,5.609467456,184,NO
-122.28,37.81,52,773,143,377,115,2.4083,98200,NEAR BAY,0.184993532,6.72173913,143,NO
-122.27,37.81,40,880,451,582,380,0.977,118800,NEAR BAY,0.5125,2.315789474,451,NO
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY,0.397714286,2.651515152,348,NO
-122.27,37.8,10,105,42,125,39,0.9722,137500,NEAR BAY,0.4,2.692307692,42,NO
-122.27,37.8,52,249,78,396,85,1.2434,500001,NEAR BAY,0.313253012,2.929411765,78,NO
-122.27,37.8,16,994,392,800,362,2.0938,162500,NEAR BAY,0.394366197,2.745856354,392,NO
-122.28,37.8,52,215,87,904,88,0.8668,137500,NEAR BAY,0.404651163,2.443181818,87,NO
-122.28,37.8,52,96,31,191,34,0.75,162500,NEAR BAY,0.322916667,2.823529412,31,NO
-122.27,37.79,27,1055,347,718,302,2.6354,187500,NEAR BAY,0.328909953,3.493377483,347,NO
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,NEAR BAY,0.363265306,3.672376874,623,NO
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,NEAR BAY,0.464815162,2.294016358,2477,NO
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,NEAR BAY,0.289599652,3.894915254,1331,NO
-122.26,37.81,29,335,107,202,91,2.0062,125000,NEAR BAY,0.319402985,3.681318681,107,NO
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000,NEAR BAY,0.344921238,2.9456,1270,NO
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY,0.298651252,3.707142857,1085,NO
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,NEAR BAY,0.303694158,3.7248,1414,NO
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400,NEAR BAY,0.276093696,3.878423514,1603,NO
-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY,0.283372365,3.745614035,242,NO
-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY,0.325290023,3.515497553,701,NO
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700,NEAR BAY,0.326009198,3.281721632,1914,NO
-122.24,37.82,52,1509,225,674,244,4.9306,313400,NEAR BAY,0.149105368,6.18442623,225,NO
-122.24,37.81,52,2026,482,709,456,3.2727,268500,NEAR BAY,0.237907206,4.442982456,482,NO
-122.25,37.81,52,1758,460,686,422,3.1691,259400,NEAR BAY,0.261660978,4.165876777,460,NO
-122.24,37.82,52,3481,751,1444,718,3.9,275700,NEAR BAY,0.215742603,4.848189415,751,NO
-122.25,37.82,28,3337,855,1520,802,3.9063,225000,NEAR BAY,0.25621816,4.16084788,855,NO
-122.25,37.82,52,1424,289,550,253,5.0917,262500,NEAR BAY,0.202949438,5.628458498,289,NO
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500,NEAR BAY,0.288264636,3.727005871,1098,NO
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,NEAR BAY,0.302096489,3.253081348,1196,NO
-122.25,37.83,52,2376,559,939,519,3.1484,224100,NEAR BAY,0.23526936,4.578034682,559,NO
-122.25,37.83,35,1613,428,675,422,3.4722,243100,NEAR BAY,0.265344079,3.822274882,428,NO
-122.25,37.83,52,1279,287,534,291,3.1429,231600,NEAR BAY,0.224394058,4.395189003,287,NO
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500,NEAR BAY,0.348466746,3.023479831,1750,NO
-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100,NEAR BAY,0.26372315,4.040501446,1105,NO
-122.23,37.84,50,2515,399,970,373,5.8596,327600,NEAR BAY,0.158648111,6.742627346,399,NO
-122.23,37.84,47,3175,454,1098,485,5.2868,347600,NEAR BAY,0.142992126,6.546391753,454,NO
-122.24,37.83,41,2576,406,794,376,5.956,366100,NEAR BAY,0.157608696,6.85106383,406,NO
-122.24,37.85,37,334,54,98,47,4.9643,335000,NEAR BAY,0.161676647,7.106382979,54,NO
-122.23,37.85,52,2800,411,1061,403,6.3434,373600,NEAR BAY,0.146785714,6.947890819,411,NO
-122.24,37.84,52,3529,574,1177,555,5.1773,389500,NEAR BAY,0.162652309,6.358558559,574,NO
-122.24,37.85,52,2612,365,901,367,7.2354,391100,NEAR BAY,0.139739663,7.117166213,365,NO
-122.22,37.85,28,5287,1048,2031,956,5.457,337300,NEAR BAY,0.198222054,5.530334728,1048,NO
-122.22,37.84,50,2935,473,1031,479,7.5,295200,NEAR BAY,0.161158433,6.127348643,473,NO
-122.21,37.84,44,3424,597,1358,597,6.0194,292300,NEAR BAY,0.174357477,5.735343384,597,NO
-122.21,37.83,40,4991,674,1616,654,7.5544,411500,NEAR BAY,0.135043078,7.631498471,674,NO
-122.2,37.84,30,2211,346,844,343,6.0666,311500,NEAR BAY,0.156490276,6.44606414,346,NO
-122.21,37.84,34,3038,490,1140,496,7.0548,325900,NEAR BAY,0.161290323,6.125,490,NO
-122.19,37.84,18,1617,210,533,194,11.6017,392600,NEAR BAY,0.12987013,8.335051546,210,NO
-122.2,37.84,35,2865,460,1072,443,7.4882,319300,NEAR BAY,0.160558464,6.467268623,460,NO
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,NEAR BAY,0.155577493,6.61227154,788,NO
-122.19,37.83,28,1326,184,463,190,8.2049,335200,NEAR BAY,0.138763198,6.978947368,184,NO
-122.2,37.83,26,1589,223,542,211,8.401,351200,NEAR BAY,0.140339836,7.530805687,223,NO
-122.19,37.83,29,1791,271,661,269,6.8538,368900,NEAR BAY,0.151312116,6.657992565,271,NO
-122.19,37.82,32,1835,264,635,263,8.317,365900,NEAR BAY,0.14386921,6.977186312,264,NO
-122.2,37.82,37,1229,181,420,176,7.0175,366700,NEAR BAY,0.147274207,6.982954545,181,NO
-122.2,37.82,39,3770,534,1265,500,6.3302,362800,NEAR BAY,0.141644562,7.54,534,NO
-122.18,37.81,30,292,38,126,52,6.3624,483300,NEAR BAY,0.130136986,5.615384615,38,NO
-122.21,37.82,52,2375,333,813,350,7.0549,331400,NEAR BAY,0.140210526,6.785714286,333,NO
-122.2,37.81,45,2964,436,1067,426,6.7851,323500,NEAR BAY,0.147098516,6.957746479,436,NO
-122.21,37.8,50,2833,605,1260,552,2.8929,216700,NEAR BAY,0.213554536,5.132246377,605,NO
-122.21,37.8,38,2254,535,951,487,3.0812,233100,NEAR BAY,0.237355812,4.628336756,535,NO
-122.21,37.81,52,1389,212,510,224,5.2402,296400,NEAR BAY,0.15262779,6.200892857,212,NO
-122.22,37.81,52,1971,335,765,308,6.5217,273700,NEAR BAY,0.169964485,6.399350649,335,NO
-122.22,37.8,52,2183,465,1129,460,3.2632,227700,NEAR BAY,0.21300962,4.745652174,465,NO
-122.22,37.8,52,2286,464,1073,441,3.0298,199600,NEAR BAY,0.202974628,5.183673469,464,NO
-122.22,37.8,52,2721,541,1185,515,4.5428,239800,NEAR BAY,0.198823962,5.283495146,541,NO
-122.22,37.81,52,2024,339,756,340,4.072,270100,NEAR BAY,0.167490119,5.952941176,339,NO
-122.22,37.81,52,2944,536,1034,521,5.3509,302100,NEAR BAY,0.182065217,5.650671785,536,NO
-122.23,37.8,52,2033,486,787,459,3.1603,269500,NEAR BAY,0.239055583,4.4291939,486,NO
-122.23,37.81,52,1433,229,612,213,4.7708,314700,NEAR BAY,0.159804606,6.727699531,229,NO
-122.22,37.81,52,2927,402,1021,380,8.1564,390100,NEAR BAY,0.137341988,7.702631579,402,NO
-122.23,37.81,52,2315,292,861,258,8.8793,410300,NEAR BAY,0.126133909,8.972868217,292,NO
-122.24,37.81,52,2485,313,953,327,6.8591,352400,NEAR BAY,0.125955734,7.599388379,313,NO
-122.24,37.81,52,1490,238,634,256,6.0302,287300,NEAR BAY,0.159731544,5.8203125,238,NO
-122.23,37.81,52,2814,365,878,352,7.508,348700,NEAR BAY,0.1297086,7.994318182,365,NO
-122.24,37.81,52,2093,550,918,483,2.7477,243800,NEAR BAY,0.262780698,4.333333333,550,NO
-122.24,37.8,52,888,168,360,175,2.1944,211500,NEAR BAY,0.189189189,5.074285714,168,NO
-122.25,37.8,52,2087,510,1197,488,3.0149,218400,NEAR BAY,0.244369909,4.276639344,510,NO
-122.24,37.81,52,2513,502,1048,518,3.675,269900,NEAR BAY,0.199761242,4.851351351,502,NO
-122.25,37.81,46,3232,835,1373,747,3.225,218800,NEAR BAY,0.25835396,4.326639893,835,NO
-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000,NEAR BAY,0.258495146,4.0591133,1065,NO
-122.25,37.8,43,2364,792,1359,722,2.1429,250000,NEAR BAY,0.335025381,3.274238227,792,NO
-122.25,37.8,41,1471,469,1062,413,1.6121,171400,NEAR BAY,0.318830727,3.561743341,469,NO
-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY,0.350081037,3.192755498,864,NO
-122.24,37.79,27,1632,492,1171,429,2.3173,125000,NEAR BAY,0.301470588,3.804195804,492,NO
-122.25,37.79,45,1786,526,1475,460,1.7772,97500,NEAR BAY,0.294512878,3.882608696,526,NO
-122.25,37.79,50,629,188,742,196,2.6458,125000,NEAR BAY,0.298887122,3.209183673,188,NO
-122.25,37.79,52,1339,391,1086,363,2.181,138800,NEAR BAY,0.292008962,3.688705234,391,NO
-122.25,37.8,36,1678,606,1645,543,2.2303,116700,NEAR BAY,0.361144219,3.090239411,606,NO
-122.25,37.8,43,2344,647,1710,644,1.6504,151800,NEAR BAY,0.276023891,3.639751553,647,NO
-122.24,37.8,52,996,228,731,228,2.2697,127000,NEAR BAY,0.228915663,4.368421053,228,NO
-122.24,37.8,52,1591,373,1118,347,2.1563,128600,NEAR BAY,0.234443746,4.585014409,373,NO
-122.24,37.8,52,1586,398,1006,335,2.1348,140600,NEAR BAY,0.250945776,4.734328358,398,NO
-122.24,37.8,47,2046,588,1213,554,2.6292,182700,NEAR BAY,0.287390029,3.693140794,588,NO
-122.23,37.8,52,1192,289,772,257,2.3833,146900,NEAR BAY,0.242449664,4.638132296,289,NO
-122.24,37.8,52,1803,420,1321,401,2.957,122800,NEAR BAY,0.232945092,4.496259352,420,NO
-122.24,37.8,49,2838,749,1487,677,2.5238,169300,NEAR BAY,0.263918252,4.192023634,749,NO
-122.23,37.8,52,783,184,488,186,1.9375,126600,NEAR BAY,0.234993614,4.209677419,184,NO
-122.23,37.8,51,1590,414,949,392,1.9028,127900,NEAR BAY,0.260377358,4.056122449,414,NO
-122.23,37.8,50,1746,480,1149,415,2.25,123500,NEAR BAY,0.274914089,4.207228916,480,NO
-122.23,37.8,52,1252,299,844,280,2.3929,111900,NEAR BAY,0.238817891,4.471428571,299,NO
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY,0.225389904,4.844029245,1344,NO
-122.23,37.79,52,1783,395,1659,412,2.9357,107900,NEAR BAY,0.221536736,4.327669903,395,NO
-122.23,37.79,30,999,264,1011,263,1.8854,137500,NEAR BAY,0.264264264,3.798479087,264,NO
-122.24,37.79,39,1469,431,1464,389,2.1638,105500,NEAR BAY,0.293396869,3.776349614,431,NO
-122.24,37.79,47,1372,395,1237,303,2.125,95500,NEAR BAY,0.287900875,4.528052805,395,NO
-122.24,37.79,52,674,180,647,168,3.375,116100,NEAR BAY,0.267062315,4.011904762,180,NO
-122.24,37.79,43,1626,376,1284,357,2.2542,112200,NEAR BAY,0.231242312,4.554621849,376,NO
-122.25,37.79,51,175,43,228,55,2.1,75000,NEAR BAY,0.245714286,3.181818182,43,NO
-122.25,37.79,39,461,129,381,123,1.6,112500,NEAR BAY,0.279826464,3.74796748,129,NO
-122.25,37.79,52,902,237,846,227,3.625,125000,NEAR BAY,0.262749446,3.973568282,237,NO
-122.26,37.8,20,2373,779,1659,676,1.6929,115000,NEAR BAY,0.328276443,3.51035503,779,NO
-122.22,37.77,52,391,128,520,138,1.6471,95000,NEAR BAY,0.327365729,2.833333333,128,NO
-122.22,37.77,52,1137,301,866,259,2.59,96400,NEAR BAY,0.26473175,4.38996139,301,NO
-122.23,37.77,52,769,206,612,183,2.57,72000,NEAR BAY,0.267880364,4.202185792,206,NO
-122.23,37.78,52,472,146,415,126,2.6429,71300,NEAR BAY,0.309322034,3.746031746,146,NO
-122.23,37.78,52,862,215,994,213,3.0257,80800,NEAR BAY,0.249419954,4.046948357,215,NO
-122.22,37.78,50,1920,530,1525,477,1.4886,128800,NEAR BAY,0.276041667,4.025157233,530,NO
-122.23,37.78,43,1420,472,1506,438,1.9338,112500,NEAR BAY,0.332394366,3.242009132,472,NO
-122.23,37.78,52,986,258,1008,255,1.4844,119400,NEAR BAY,0.261663286,3.866666667,258,NO
-122.23,37.78,44,2340,825,2813,751,1.6009,118100,NEAR BAY,0.352564103,3.115845539,825,NO
-122.23,37.79,48,1696,396,1481,343,2.0375,122500,NEAR BAY,0.233490566,4.944606414,396,NO
-122.23,37.79,49,1175,217,859,219,2.293,106300,NEAR BAY,0.184680851,5.365296804,217,NO
-122.22,37.79,37,2343,574,1608,523,2.1494,132500,NEAR BAY,0.244985062,4.479923518,574,NO
-122.23,37.79,30,610,145,425,140,1.6198,122700,NEAR BAY,0.237704918,4.357142857,145,NO
-122.23,37.79,40,930,199,564,184,1.3281,113300,NEAR BAY,0.213978495,5.054347826,199,NO
-122.22,37.79,44,1487,314,961,272,3.5156,109500,NEAR BAY,0.211163416,5.466911765,314,NO
-122.22,37.79,52,3424,690,2273,685,3.9048,164700,NEAR BAY,0.201518692,4.998540146,690,NO
-122.21,37.79,52,762,190,600,195,3.0893,125000,NEAR BAY,0.249343832,3.907692308,190,NO
-122.22,37.79,46,2366,575,1647,527,2.6042,124700,NEAR BAY,0.243026205,4.489563567,575,NO
-122.22,37.79,49,1826,450,1201,424,2.5,136700,NEAR BAY,0.246440307,4.306603774,450,NO
-122.22,37.79,38,3049,711,2167,659,2.7969,141700,NEAR BAY,0.23319121,4.626707132,711,NO
-122.2,37.79,29,1640,376,939,340,2.8321,150000,NEAR BAY,0.229268293,4.823529412,376,NO
-122.21,37.79,47,1543,307,859,292,2.9583,138800,NEAR BAY,0.198963059,5.284246575,307,NO
-122.21,37.79,34,2364,557,1517,516,2.8365,139200,NEAR BAY,0.235617597,4.581395349,557,NO
-122.21,37.79,35,1745,409,1143,386,2.875,143800,NEAR BAY,0.234383954,4.520725389,409,NO
-122.21,37.8,39,2003,500,1109,464,3.0682,156500,NEAR BAY,0.249625562,4.316810345,500,NO
-122.21,37.8,39,2018,447,1221,446,3.0757,151000,NEAR BAY,0.221506442,4.524663677,447,NO
-122.2,37.8,43,3045,499,1115,455,4.9559,273000,NEAR BAY,0.163875205,6.692307692,499,NO
-122.2,37.8,52,1547,293,706,268,4.7721,217100,NEAR BAY,0.189398836,5.77238806,293,NO
-122.21,37.8,52,3519,711,1883,706,3.4861,187100,NEAR BAY,0.202046036,4.984419263,711,NO
-122.2,37.8,41,2070,354,804,340,5.1184,239600,NEAR BAY,0.171014493,6.088235294,354,NO
-122.21,37.8,48,1321,263,506,252,4.0977,229700,NEAR BAY,0.199091597,5.242063492,263,NO
-122.19,37.8,48,1694,259,610,238,4.744,257300,NEAR BAY,0.152892562,7.117647059,259,NO
-122.19,37.8,46,1938,341,768,332,4.2727,246900,NEAR BAY,0.175954592,5.837349398,341,NO
-122.19,37.79,50,968,195,462,184,2.9844,179900,NEAR BAY,0.201446281,5.260869565,195,NO
-122.2,37.79,40,1060,256,667,235,4.1739,169600,NEAR BAY,0.241509434,4.510638298,256,NO
-122.2,37.8,46,2041,405,1059,399,3.8487,203300,NEAR BAY,0.198432141,5.115288221,405,NO
-122.19,37.8,52,1813,271,637,277,4.0114,263400,NEAR BAY,0.149476007,6.545126354,271,NO
-122.19,37.79,45,2718,451,1106,454,4.6563,231800,NEAR BAY,0.165930831,5.986784141,451,NO
-122.19,37.79,28,3144,761,1737,669,2.9297,140500,NEAR BAY,0.242048346,4.69955157,761,NO
-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY,0.254716981,4.620512821,459,NO
-122.2,37.79,49,882,195,737,210,2.6667,122000,NEAR BAY,0.221088435,4.2,195,NO
-122.2,37.79,44,1621,452,1354,491,2.619,134700,NEAR BAY,0.278840222,3.301425662,452,NO
-122.21,37.79,45,2115,533,1530,474,2.4167,139400,NEAR BAY,0.252009456,4.462025316,533,NO
-122.2,37.79,45,2021,528,1410,480,2.7788,115400,NEAR BAY,0.261256804,4.210416667,528,NO
-122.21,37.78,46,2239,508,1390,569,2.7352,137300,NEAR BAY,0.226887003,3.934973638,508,NO
-122.21,37.78,52,1477,300,1065,269,1.8472,137000,NEAR BAY,0.203114421,5.49070632,300,NO
-122.21,37.78,52,1056,224,792,245,2.6583,142600,NEAR BAY,0.212121212,4.310204082,224,NO
-122.21,37.78,49,898,244,779,245,3.0536,137500,NEAR BAY,0.271714922,3.665306122,244,NO
-122.22,37.78,44,2968,710,2269,610,2.3906,111700,NEAR BAY,0.239218329,4.86557377,710,NO
-122.21,37.78,43,1702,460,1227,407,1.7188,126800,NEAR BAY,0.27027027,4.181818182,460,NO
-122.21,37.78,47,881,248,753,241,2.625,111300,NEAR BAY,0.281498297,3.65560166,248,NO
-122.22,37.77,40,494,114,547,135,2.8015,114800,NEAR BAY,0.230769231,3.659259259,114,NO
-122.22,37.78,50,1776,473,1807,440,1.7276,102300,NEAR BAY,0.266328829,4.036363636,473,NO
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,NEAR BAY,0.306317044,3.38989899,514,NO
-122.22,37.78,51,1637,463,1543,393,2.489,119100,NEAR BAY,0.282834453,4.165394402,463,NO
-122.21,37.76,52,1420,314,1085,300,1.7546,80600,NEAR BAY,0.221126761,4.733333333,314,NO
-122.21,37.77,52,591,173,353,137,4.0904,80600,NEAR BAY,0.292724196,4.313868613,173,NO
-122.21,37.77,52,745,153,473,149,2.6765,88800,NEAR BAY,0.205369128,5,153,NO
-122.2,37.77,49,2272,498,1621,483,2.4338,102400,NEAR BAY,0.219190141,4.703933747,498,NO
-122.21,37.77,46,1234,375,1183,354,2.3309,98700,NEAR BAY,0.303889789,3.485875706,375,NO
-122.21,37.77,43,1017,328,836,277,2.2604,100000,NEAR BAY,0.322517207,3.671480144,328,NO
-122.19,37.77,42,932,254,900,263,1.8039,92300,NEAR BAY,0.272532189,3.543726236,254,NO
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY,0.222015619,5.00744879,597,NO
-122.2,37.77,41,1547,415,1024,341,2.0562,102000,NEAR BAY,0.268261151,4.536656891,415,NO
